platform,source,item_type,external_id,url,username,title,content,description,author,published_at,raw_date_str,likes,shares,comments_count,word_count,relevance_score,matched_keywords,comment_username,comment_text,comment_published_at,comment_raw_date_str,comment_likes
instagram,instagram,ig_post,DZVGpGniaLU,https://www.instagram.com/p/DZVGpGniaLU/,ojk_solo,,"OJK Panggil Solusiku, Tindak Tegas Dugaan Pelanggaran Penagihan

Sobat OJK,

OJK telah memanggil PT Anugerah Digital Indonesia (pemilik merek “Solusiku”) pada 4 Juni 2026. Langkah ini diambil berdasarkan pengaduan konsumen melalui Aplikasi Portal Perlindungan Konsumen (APPK) OJK terkait proses penagihan yang bermasalah.

Seperti apa tindak tegas OJK terkait dugaan pelanggaran penagihan solusiku? Simak di postingan ini 👆🏻

#OJKIndonesia #Keuangan #Penagihan #DebtCollector #Solusiku"".",,,2026-06-08T15:21:41.000Z,2026-06-08T15:21:41.000Z,40,0,0,62,26,"solusiku,pt anugerah digital indonesia,ojk,penagihan,pelanggaran,pengaduan,konsumen,bermasalah",,,,,
instagram,instagram,ig_post,DZl_JRTE9W0,https://www.instagram.com/p/DZl_JRTE9W0/,ojk_maluku,,"OJK Panggil Solusiku, Tindak Tegas Dugaan Pelanggaran Penagihan

Sobat OJK,

OJK telah memanggil PT Anugerah Digital Indonesia (pemilik merek “Solusiku”) pada 4 Juni 2026. Langkah ini diambil berdasarkan pengaduan konsumen melalui Aplikasi Portal Perlindungan Konsumen (APPK) OJK terkait proses penagihan yang bermasalah.

Seperti apa tindak tegas OJK terkait dugaan pelanggaran penagihan solusiku? Simak di postingan ini 👆🏻

#OJKIndonesia #Keuangan #Penagihan #DebtCollector #Solusiku"".",,,2026-06-15T04:43:15.000Z,2026-06-15T04:43:15.000Z,11,0,0,62,26,"solusiku,pt anugerah digital indonesia,ojk,penagihan,pelanggaran,pengaduan,konsumen,bermasalah",,,,,
instagram,instagram,ig_post,DZSVFpfAWgp,https://www.instagram.com/p/DZSVFpfAWgp/,detikfinanceofficial,,"OJK turun tangan usai menerima pengaduan terkait proses penagihan fintech Solusiku. Regulator kini mendalami dugaan pelanggaran dan meminta penghentian sementara penagihan terhadap konsumen yang telah mengadu hingga pemeriksaan selesai.

Yuk, simak fakta lengkapnya di infografis berikut! 👉

#detikFinance #OJK #Fintech #Solusiku #PerlindunganKonsumen"".",,,2026-06-07T13:30:11.000Z,2026-06-07T13:30:11.000Z,3464,0,317,42,16,"solusiku,fintech,ojk,penagihan,pelanggaran,pengaduan,konsumen",rsd_samp,SPinjam paling parah telp nagih puluhan kali sehari dan WA ngk tahu waktu kacau parah @ojkindonesia pdhl Nilai tagihannya kecil aja🤦🤥🤥😢,2026-06-07T15:19:12.000Z,2026-06-07T15:19:12.000Z,0
instagram,instagram,ig_post,DZSVFpfAWgp,https://www.instagram.com/p/DZSVFpfAWgp/,detikfinanceofficial,,"OJK turun tangan usai menerima pengaduan terkait proses penagihan fintech Solusiku. Regulator kini mendalami dugaan pelanggaran dan meminta penghentian sementara penagihan terhadap konsumen yang telah mengadu hingga pemeriksaan selesai.

Yuk, simak fakta lengkapnya di infografis berikut! 👉

#detikFinance #OJK #Fintech #Solusiku #PerlindunganKonsumen"".",,,2026-06-07T13:30:11.000Z,2026-06-07T13:30:11.000Z,3464,0,317,42,16,"solusiku,fintech,ojk,penagihan,pelanggaran,pengaduan,konsumen",kecapasin17_,"@rsd_samp jangan kaget, sistem sama drivernya aja mereka kejam apalagi sama peminjam",2026-06-07T15:37:25.000Z,2026-06-07T15:37:25.000Z,0
instagram,instagram,ig_post,DZSVFpfAWgp,https://www.instagram.com/p/DZSVFpfAWgp/,detikfinanceofficial,,"OJK turun tangan usai menerima pengaduan terkait proses penagihan fintech Solusiku. Regulator kini mendalami dugaan pelanggaran dan meminta penghentian sementara penagihan terhadap konsumen yang telah mengadu hingga pemeriksaan selesai.

Yuk, simak fakta lengkapnya di infografis berikut! 👉

#detikFinance #OJK #Fintech #Solusiku #PerlindunganKonsumen"".",,,2026-06-07T13:30:11.000Z,2026-06-07T13:30:11.000Z,3464,0,317,42,16,"solusiku,fintech,ojk,penagihan,pelanggaran,pengaduan,konsumen",triebyart,@rsd_samp dan saya kena tipu dari aplikasi ini... Modus pmblokiran akun...,2026-06-07T20:03:22.000Z,2026-06-07T20:03:22.000Z,0
instagram,instagram,ig_post,DZSVFpfAWgp,https://www.instagram.com/p/DZSVFpfAWgp/,detikfinanceofficial,,"OJK turun tangan usai menerima pengaduan terkait proses penagihan fintech Solusiku. Regulator kini mendalami dugaan pelanggaran dan meminta penghentian sementara penagihan terhadap konsumen yang telah mengadu hingga pemeriksaan selesai.

Yuk, simak fakta lengkapnya di infografis berikut! 👉

#detikFinance #OJK #Fintech #Solusiku #PerlindunganKonsumen"".",,,2026-06-07T13:30:11.000Z,2026-06-07T13:30:11.000Z,3464,0,317,42,16,"solusiku,fintech,ojk,penagihan,pelanggaran,pengaduan,konsumen",harveyslide,@rsd_samp mau lu blockir blastnya tetep ada lagi,2026-06-07T23:08:50.000Z,2026-06-07T23:08:50.000Z,0
instagram,instagram,ig_post,DZSVFpfAWgp,https://www.instagram.com/p/DZSVFpfAWgp/,detikfinanceofficial,,"OJK turun tangan usai menerima pengaduan terkait proses penagihan fintech Solusiku. Regulator kini mendalami dugaan pelanggaran dan meminta penghentian sementara penagihan terhadap konsumen yang telah mengadu hingga pemeriksaan selesai.

Yuk, simak fakta lengkapnya di infografis berikut! 👉

#detikFinance #OJK #Fintech #Solusiku #PerlindunganKonsumen"".",,,2026-06-07T13:30:11.000Z,2026-06-07T13:30:11.000Z,3464,0,317,42,16,"solusiku,fintech,ojk,penagihan,pelanggaran,pengaduan,konsumen",uchiicha1113,"@rsd_samp Yups betul @spinjam_id emang paling parah, hari minggu telfon 10x blast 3x, @kontak157 @ojkindonesia  @afpiofficial.id gimana ini kok bisa seenaknya spinjam melanggar peraturan",2026-06-07T23:37:59.000Z,2026-06-07T23:37:59.000Z,0
instagram,instagram,ig_post,DZSVFpfAWgp,https://www.instagram.com/p/DZSVFpfAWgp/,detikfinanceofficial,,"OJK turun tangan usai menerima pengaduan terkait proses penagihan fintech Solusiku. Regulator kini mendalami dugaan pelanggaran dan meminta penghentian sementara penagihan terhadap konsumen yang telah mengadu hingga pemeriksaan selesai.

Yuk, simak fakta lengkapnya di infografis berikut! 👉

#detikFinance #OJK #Fintech #Solusiku #PerlindunganKonsumen"".",,,2026-06-07T13:30:11.000Z,2026-06-07T13:30:11.000Z,3464,0,317,42,16,"solusiku,fintech,ojk,penagihan,pelanggaran,pengaduan,konsumen",act4act,@rsd_samp hi kak kalau boleh tolong kirim screenshotsnya via dm aku yaa,2026-06-08T00:06:48.000Z,2026-06-08T00:06:48.000Z,0
instagram,instagram,ig_post,DZSVFpfAWgp,https://www.instagram.com/p/DZSVFpfAWgp/,detikfinanceofficial,,"OJK turun tangan usai menerima pengaduan terkait proses penagihan fintech Solusiku. Regulator kini mendalami dugaan pelanggaran dan meminta penghentian sementara penagihan terhadap konsumen yang telah mengadu hingga pemeriksaan selesai.

Yuk, simak fakta lengkapnya di infografis berikut! 👉

#detikFinance #OJK #Fintech #Solusiku #PerlindunganKonsumen"".",,,2026-06-07T13:30:11.000Z,2026-06-07T13:30:11.000Z,3464,0,317,42,16,"solusiku,fintech,ojk,penagihan,pelanggaran,pengaduan,konsumen",nalya_listy08,"@rsd_samp belum lagi @shopee_id @spinjam_id keluar kondar ke kontak kontak hp ,tolong di tanggapi @ojkindonesia @afpiofficial.id sudah menyalahi aturan",2026-06-08T01:09:40.000Z,2026-06-08T01:09:40.000Z,0
instagram,instagram,ig_post,DZSVFpfAWgp,https://www.instagram.com/p/DZSVFpfAWgp/,detikfinanceofficial,,"OJK turun tangan usai menerima pengaduan terkait proses penagihan fintech Solusiku. Regulator kini mendalami dugaan pelanggaran dan meminta penghentian sementara penagihan terhadap konsumen yang telah mengadu hingga pemeriksaan selesai.

Yuk, simak fakta lengkapnya di infografis berikut! 👉

#detikFinance #OJK #Fintech #Solusiku #PerlindunganKonsumen"".",,,2026-06-07T13:30:11.000Z,2026-06-07T13:30:11.000Z,3464,0,317,42,16,"solusiku,fintech,ojk,penagihan,pelanggaran,pengaduan,konsumen",thenatmom,"@rsd_samp bener banget si Blast kan yg tagih? Masa tagih smpe kontak ke no kontak yg lain, pdhal udh d jawab tdak ketemu sy sdah tahunan,, masih no kontak tersebut dia hubungi.. Hari minggu, tgl merah, jam 21.30 jg tagih",2026-06-08T02:15:21.000Z,2026-06-08T02:15:21.000Z,0
